OBJECTID,DESCRIPTION,ID,ECYHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,3804853238.42,3804853238.42,72760823790.5,3028971.212854449,1753802109669,Synapse54,1753802109669,Synapse54
2,"G0C (New Richmond, QC)",G0C,1703402065.54,1703402065.54,22075337398.492188,967680.4043130332,1753802109669,Synapse54,1753802109669,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,159296238.13,159296238.13,17330251329.5,625766.1683453334,1753802109669,Synapse54,1753802109669,Synapse54
4,"G0G (Fermont, QC)",G0G,717388084.6,717388084.6,488246740388.7383,13452850.295035336,1753802109669,Synapse54,1753802109669,Synapse54
5,"G0H (Pessamit, QC)",G0H,396458724.89,396458724.89,123893631441.5,3217405.6747955983,1753802109669,Synapse54,1753802109669,Synapse54
6,"G0J (Causapscal, QC)",G0J,924390183.52,924390183.52,30795263589.0,1187342.219615261,1753802109669,Synapse54,1753802109669,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,445632720.77,445632720.77,8964482448.5,530269.0600895187,1753802109669,Synapse54,1753802109669,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,2130656255.77,2130656255.77,23226305480.5,1017338.6635460304,1753802109669,Synapse54,1753802109669,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,1222976956.93,1222976956.93,6354665678.5,678703.1375911924,1753802109669,Synapse54,1753802109669,Synapse54
10,"G0N (Disraeli, QC)",G0N,706023739.42,706023739.42,3579667597.5,610336.508657239,1753802109669,Synapse54,1753802109669,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,227977660.95,227977660.95,1964344449.0,415202.1877963802,1753802109669,Synapse54,1753802109669,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,3056568175.55,3056568175.55,17275130739.5,769075.2097201231,1753802109669,Synapse54,1753802109669,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,2736026810.03,2736026810.03,7546000235.5,718279.0049398947,1753802109669,Synapse54,1753802109669,Synapse54
14,"G0T (Forestville, QC)",G0T,489911810.2,489911810.2,20313438075.0,1270528.890385615,1753802109669,Synapse54,1753802109669,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,775123187.69,775123187.69,24624561090.5,1237538.7672922572,1753802109669,Synapse54,1753802109669,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,1302907647.82,1302907647.82,380327320475.0,4323366.579971259,1753802109669,Synapse54,1753802109669,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,2159361091.35,2159361091.35,39978887685.5,2171889.905015521,1753802109669,Synapse54,1753802109669,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,348339214.28,348339214.28,3810924397.5,557635.8571484805,1753802109669,Synapse54,1753802109669,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,306017883.08,306017883.08,1313913827.0,254093.22841298912,1753802109669,Synapse54,1753802109669,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753802109669,Synapse54,1753802109669,Synapse54
21,"G1B (Quebec, QC)",G1B,782440426.3,782440426.3,87273797.0,41431.67400838665,1753802109669,Synapse54,1753802109669,Synapse54
22,"G1C (Quebec, QC)",G1C,1575895110.75,1575895110.75,42832173.5,38990.399766328665,1753802109669,Synapse54,1753802109669,Synapse54
23,"G1E (Quebec, QC)",G1E,1088729193.58,1088729193.58,21963715.5,24460.60804483201,1753802109669,Synapse54,1753802109669,Synapse54
24,"G1G (Quebec, QC)",G1G,1101060138.22,1101060138.22,23261499.5,21244.010790424363,1753802109669,Synapse54,1753802109669,Synapse54
25,"G1H (Quebec, QC)",G1H,1161234003.31,1161234003.31,17070653.5,16728.070206687444,1753802109669,Synapse54,1753802109669,Synapse54
26,"G1J (Quebec, QC)",G1J,859430619.54,859430619.54,15486417.5,18318.282612942763,1753802109669,Synapse54,1753802109669,Synapse54
27,"G1K (Quebec, QC)",G1K,761922274.99,761922274.99,9532326.5,27604.32226056824,1753802109669,Synapse54,1753802109669,Synapse54
28,"G1L (Quebec, QC)",G1L,845234257.66,845234257.66,8545974.0,13500.51656374446,1753802109669,Synapse54,1753802109669,Synapse54
29,"G1M (Quebec, QC)",G1M,847449046.1,847449046.1,17720734.5,19033.029965482125,1753802109669,Synapse54,1753802109669,Synapse54
30,"G1N (Quebec, QC)",G1N,349358053.02,349358053.02,13120575.0,20830.816804197915,1753802109669,Synapse54,1753802109669,Synapse54
31,"G1P (Quebec, QC)",G1P,617591019.27,617591019.27,23560383.5,22665.24353657779,1753802109669,Synapse54,1753802109669,Synapse54
32,"G1R (Quebec, QC)",G1R,825337298.54,825337298.54,6291861.0,12661.880571938687,1753802109669,Synapse54,1753802109669,Synapse54
33,"G1S (Quebec, QC)",G1S,1444997347.06,1444997347.06,11216915.28125,15661.567182113036,1753802109669,Synapse54,1753802109669,Synapse54
34,"G1T (Quebec, QC)",G1T,485337914.57,485337914.57,7077771.5,17602.81541790566,1753802109669,Synapse54,1753802109669,Synapse54
35,"G1V (Quebec, QC)",G1V,910028970.5,910028970.5,15730102.0,17979.112647239195,1753802109669,Synapse54,1753802109669,Synapse54
36,"G1W (Quebec, QC)",G1W,1266057673.52,1266057673.52,17198639.5,21801.94208985731,1753802109669,Synapse54,1753802109669,Synapse54
37,"G1X (Quebec, QC)",G1X,1367488667.58,1367488667.58,27103326.0,27337.079999136095,1753802109669,Synapse54,1753802109669,Synapse54
38,"G1Y (Quebec, QC)",G1Y,774857269.8,774857269.8,14262450.5,17939.63034370007,1753802109669,Synapse54,1753802109669,Synapse54
39,"G2A (Quebec, QC)",G2A,827996197.94,827996197.94,47271562.5,46123.605864486206,1753802109669,Synapse54,1753802109669,Synapse54
40,"G2B (Quebec, QC)",G2B,1068526262.85,1068526262.85,24328924.5,22475.77399457994,1753802109669,Synapse54,1753802109669,Synapse54
41,"G2C (Quebec, QC)",G2C,625551582.76,625551582.76,18432837.5,23131.360190110616,1753802109669,Synapse54,1753802109669,Synapse54
42,"G2E (Quebec, QC)",G2E,978797755.4,978797755.4,27707972.5,23903.30796073271,1753802109669,Synapse54,1753802109669,Synapse54
43,"G2G (Quebec, QC)",G2G,503768937.93,503768937.93,101799470.5,45275.85044604026,1753802109669,Synapse54,1753802109669,Synapse54
44,"G2J (Quebec, QC)",G2J,143062274.21,143062274.21,5412144.5,9862.14108739791,1753802109669,Synapse54,1753802109669,Synapse54
45,"G2K (Quebec, QC)",G2K,741705393.15,741705393.15,30349819.5,31745.12588440936,1753802109669,Synapse54,1753802109669,Synapse54
46,"G2L (Quebec, QC)",G2L,717310700.26,717310700.26,25127554.5,22805.966601331882,1753802109669,Synapse54,1753802109669,Synapse54
47,"G2M (Quebec, QC)",G2M,298396814.59,298396814.59,44779584.0,34604.08492657024,1753802109669,Synapse54,1753802109669,Synapse54
48,"G2N (Quebec, QC)",G2N,366852755.03,366852755.03,31035228.5,31796.238354131285,1753802109669,Synapse54,1753802109669,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,1238881072.02,1238881072.02,188876871.0,74472.4753726992,1753802109669,Synapse54,1753802109669,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,547015224.29,547015224.29,139197319.5,64423.23371099803,1753802109669,Synapse54,1753802109669,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,547618048.76,547618048.76,1330849498.5,175874.56931808186,1753802109669,Synapse54,1753802109669,Synapse54
52,"G3E (Quebec, QC)",G3E,710807147.39,710807147.39,18489209.0,20620.301807363456,1753802109669,Synapse54,1753802109669,Synapse54
53,"G3G (Quebec, QC)",G3G,430095877.36,430095877.36,83002473.0,53192.861834286385,1753802109669,Synapse54,1753802109669,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,442310570.4,442310570.4,279179695.0,100842.62742278028,1753802109669,Synapse54,1753802109669,Synapse54
55,"G3J (Quebec, QC)",G3J,455206241.81,455206241.81,85589532.0,54640.87343863765,1753802109669,Synapse54,1753802109669,Synapse54
56,"G3K (Quebec, QC)",G3K,955823114.77,955823114.77,66926850.0,43417.9629367511,1753802109669,Synapse54,1753802109669,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,444801622.09,444801622.09,2499240685.5,293711.66523440205,1753802109669,Synapse54,1753802109669,Synapse54
58,"G3M (Donnacona, QC)",G3M,291264194.93,291264194.93,76895468.5,38932.06578942634,1753802109669,Synapse54,1753802109669,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,549295931.6,549295931.6,179093818.5,91193.27748891739,1753802109669,Synapse54,1753802109669,Synapse54
60,"G3S (Quebec, QC)",G3S,348629719.44,348629719.44,162242772.5,88360.35793053103,1753802109669,Synapse54,1753802109669,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,283380205.68,283380205.68,1221045873.0,165284.53951195258,1753802109669,Synapse54,1753802109669,Synapse54
62,"G4A (Clermont, QC)",G4A,119454440.84,119454440.84,1226794529.0,167560.43929327332,1753802109669,Synapse54,1753802109669,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,890486006.98,890486006.98,1888740693.0195312,364416.3918226564,1753802109669,Synapse54,1753802109669,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,219672876.89,219672876.89,13736729.5,31952.335224803264,1753802109669,Synapse54,1753802109669,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,579804616.59,579804616.59,500054815.0,511013.5871236407,1753802109669,Synapse54,1753802109669,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,222750789.51,222750789.51,780273522.0,168670.12216022852,1753802109669,Synapse54,1753802109669,Synapse54
67,"G4W (Matane, QC)",G4W,520951499.63,520951499.63,466220652.0,100520.51806568402,1753802109669,Synapse54,1753802109669,Synapse54
68,"G4X (Gaspe, QC)",G4X,598061534.11,598061534.11,2615126201.546875,406673.89112098655,1753802109669,Synapse54,1753802109669,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,414730123.5,414730123.5,1669244051.0,336717.80497552885,1753802109669,Synapse54,1753802109669,Synapse54
70,"G5A (La Malbaie, QC)",G5A,308816838.93,308816838.93,905867526.5,176911.55690727945,1753802109669,Synapse54,1753802109669,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,285732857.86,285732857.86,742256392.5,203831.72178845698,1753802109669,Synapse54,1753802109669,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,469223836.26,469223836.26,78061848.0,48691.63220890317,1753802109669,Synapse54,1753802109669,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,227135255.45,227135255.45,128376656.5,53923.191144203476,1753802109669,Synapse54,1753802109669,Synapse54
74,"G5J (Amqui, QC)",G5J,222988469.5,222988469.5,310530648.5,97437.56642828621,1753802109669,Synapse54,1753802109669,Synapse54
75,"G5L (Rimouski, QC)",G5L,1064966156.2,1064966156.2,115966883.0,88926.49071239203,1753802109669,Synapse54,1753802109669,Synapse54
76,"G5M (Rimouski, QC)",G5M,389536604.5,389536604.5,66332097.0,52169.63739391678,1753802109669,Synapse54,1753802109669,Synapse54
77,"G5N (Rimouski, QC)",G5N,361420076.25,361420076.25,414167429.0,104413.83144964176,1753802109669,Synapse54,1753802109669,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,808396159.45,808396159.45,182737573.0,77061.18159356514,1753802109669,Synapse54,1753802109669,Synapse54
79,"G5T (Degelis, QC)",G5T,99513554.82,99513554.82,1107888892.0,146757.59518407704,1753802109669,Synapse54,1753802109669,Synapse54
80,"G5V (Montmagny, QC)",G5V,400353881.57,400353881.57,282245095.0,82682.88684580137,1753802109669,Synapse54,1753802109669,Synapse54
81,"G5X (Beauceville, QC)",G5X,227396511.29,227396511.29,336857190.0,91090.00846556539,1753802109669,Synapse54,1753802109669,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,880515178.55,880515178.55,169548327.0,148240.89990521545,1753802109669,Synapse54,1753802109669,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,313615060.81,313615060.81,219710089.0,133870.3845435117,1753802109669,Synapse54,1753802109669,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,91477005.03,91477005.03,12731588.0,28099.846637013223,1753802109669,Synapse54,1753802109669,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,306137593.56,306137593.56,525968305.0,147830.6226949515,1753802109669,Synapse54,1753802109669,Synapse54
86,"G6C (Pintendre, QC)",G6C,360599423.33,360599423.33,171728656.5,62758.50767570228,1753802109669,Synapse54,1753802109669,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,542169925.77,542169925.77,242749292.5,88129.38426536831,1753802109669,Synapse54,1753802109669,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,691173881.88,691173881.88,432553661.5,137866.85051543516,1753802109669,Synapse54,1753802109669,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,228160073.18,228160073.18,381525955.5,208711.52055490302,1753802109669,Synapse54,1753802109669,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,467250479.6,467250479.6,170941088.5,68005.84099520143,1753802109669,Synapse54,1753802109669,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,398995097.47,398995097.47,8847420.0,13869.752401834681,1753802109669,Synapse54,1753802109669,Synapse54
92,"G6L (Plessisville, QC)",G6L,537257054.57,537257054.57,727703425.5,150480.86599396955,1753802109669,Synapse54,1753802109669,Synapse54
93,"G6P (Victoriaville, QC)",G6P,1018111044.66,1018111044.66,43162857.0,67077.33804588739,1753802109669,Synapse54,1753802109669,Synapse54
94,"G6R (Victoriaville, QC)",G6R,181416406.54,181416406.54,111890007.5,67049.5189257073,1753802109669,Synapse54,1753802109669,Synapse54
95,"G6S (Victoriaville, QC)",G6S,209334782.62,209334782.62,93883157.5,65606.32420350032,1753802109669,Synapse54,1753802109669,Synapse54
96,"G6T (Victoriaville, QC)",G6T,473315738.66,473315738.66,97646146.0,79862.46403678902,1753802109669,Synapse54,1753802109669,Synapse54
97,"G6V (Levis, QC)",G6V,1342706846.98,1342706846.98,51005706.5,85820.66591178898,1753802109669,Synapse54,1753802109669,Synapse54
98,"G6W (Levis, QC)",G6W,1166653395.05,1166653395.05,54365583.5,57031.8227070878,1753802109669,Synapse54,1753802109669,Synapse54
99,"G6X (Levis, QC)",G6X,397495798.32,397495798.32,17532207.0,18566.178953389182,1753802109669,Synapse54,1753802109669,Synapse54
100,"G6Y (Levis, QC)",G6Y,371186209.03,371186209.03,48673784.5,36076.08982567784,1753802109669,Synapse54,1753802109669,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,1188610287.85,1188610287.85,206313300.5,81637.94553350794,1753802109669,Synapse54,1753802109669,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,1353423722.07,1353423722.07,206385794.0,76585.07395132218,1753802109669,Synapse54,1753802109669,Synapse54
103,"G7B (La Baie, QC)",G7B,749502129.28,749502129.28,731098795.5,122236.04683671948,1753802109669,Synapse54,1753802109669,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,724797614.16,724797614.16,83451590.0,72026.82978856695,1753802109669,Synapse54,1753802109669,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,1290319252.77,1290319252.77,335780132.5,155297.87503251838,1753802109669,Synapse54,1753802109669,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,594509298.06,594509298.06,48516569.0,31553.718168111947,1753802109669,Synapse54,1753802109669,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,34436622.88,34436622.88,13787400.5,25129.491914885974,1753802109669,Synapse54,1753802109669,Synapse54
108,"G7N (Laterriere, QC)",G7N,304939220.14,304939220.14,572266521.5,131134.86527943268,1753802109669,Synapse54,1753802109669,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,318020206.66,318020206.66,535052258.5,133662.40227307807,1753802109669,Synapse54,1753802109669,Synapse54
110,"G7S (Jonquiere, QC)",G7S,924735732.05,924735732.05,90965725.5,53543.07738017431,1753802109669,Synapse54,1753802109669,Synapse54
111,"G7T (Jonquiere, QC)",G7T,87298959.77,87298959.77,11024436.0,23113.794147733155,1753802109669,Synapse54,1753802109669,Synapse54
112,"G7X (Jonquiere, QC)",G7X,1024647364.0,1024647364.0,675028246.5,279259.2165036962,1753802109669,Synapse54,1753802109669,Synapse54
113,"G7Y (Jonquiere, QC)",G7Y,30511890.03,30511890.03,28364189.0,37375.76013155794,1753802109669,Synapse54,1753802109669,Synapse54
114,"G7Z (Jonquiere, QC)",G7Z,120038743.98,120038743.98,16183341.0,21290.870310459137,1753802109669,Synapse54,1753802109669,Synapse54
115,"G8A (Jonquiere, QC)",G8A,244736107.07,244736107.07,52092756.5,55678.19403946566,1753802109669,Synapse54,1753802109669,Synapse54
116,"G8B (Alma, QC)",G8B,800107316.75,800107316.75,297457310.0,211237.01895446505,1753802109669,Synapse54,1753802109669,Synapse54
117,"G8C (Alma, QC)",G8C,237468132.8,237468132.8,47590945.0,51183.77436174367,1753802109669,Synapse54,1753802109669,Synapse54
118,"G8E (Alma, QC)",G8E,158233936.91,158233936.91,198550679.5,111351.61663855895,1753802109669,Synapse54,1753802109669,Synapse54
119,"G8G (Metabetchouan-Lac-A-La-Croix, QC)",G8G,157237502.88,157237502.88,435537293.5,100773.33142038128,1753802109669,Synapse54,1753802109669,Synapse54
120,"G8H (Roberval, QC)",G8H,382315489.7,382315489.7,543189787.1757812,135904.14248114204,1753802109669,Synapse54,1753802109669,Synapse54
121,"G8J (Chicoutimi, QC)",G8J,152753980.17,152753980.17,2344096837.0,302744.5493028244,1753802109669,Synapse54,1753802109669,Synapse54
122,"G8K (Saint-Felicien, QC)",G8K,398335404.43,398335404.43,860422895.5,186957.39961478047,1753802109669,Synapse54,1753802109669,Synapse54
123,"G8L (Dolbeau-Mistassini, QC)",G8L,502080592.66,502080592.66,3537542888.8203125,527284.6001355818,1753802109669,Synapse54,1753802109669,Synapse54
124,"G8M (Normandin, QC)",G8M,188420157.14,188420157.14,1017813603.5,185656.56193391615,1753802109669,Synapse54,1753802109669,Synapse54
125,"G8N (Hebertville, QC)",G8N,95870203.72,95870203.72,473865737.0,121456.61747790436,1753802109669,Synapse54,1753802109669,Synapse54
126,"G8P (Chibougamau, QC)",G8P,296921869.22,296921869.22,2435879767.5,197043.63571528325,1753802109669,Synapse54,1753802109669,Synapse54
127,"G8T (Trois-Rivieres, QC)",G8T,954993592.47,954993592.47,53667241.0,76442.1934749919,1753802109669,Synapse54,1753802109669,Synapse54
128,"G8V (Trois-Rivieres, QC)",G8V,448945962.71,448945962.71,104632608.0,66015.1834431966,1753802109669,Synapse54,1753802109669,Synapse54
129,"G8W (Trois-Rivieres, QC)",G8W,461206353.57,461206353.57,128446737.0,76697.25349343411,1753802109669,Synapse54,1753802109669,Synapse54
130,"G8Y (Trois-Rivieres, QC)",G8Y,1421857887.38,1421857887.38,45724725.5,37933.330899285655,1753802109669,Synapse54,1753802109669,Synapse54
131,"G8Z (Trois-Rivieres, QC)",G8Z,438128940.26,438128940.26,16678138.0,22099.08240994394,1753802109669,Synapse54,1753802109669,Synapse54
132,"G9A (Trois-Rivieres, QC)",G9A,673122858.52,673122858.52,105086814.0,113245.62209754915,1753802109669,Synapse54,1753802109669,Synapse54
133,"G9B (Trois-Rivieres, QC)",G9B,898817046.13,898817046.13,216934834.5,89385.35803757486,1753802109669,Synapse54,1753802109669,Synapse54
134,"G9C (Trois-Rivieres, QC)",G9C,191023721.71,191023721.71,12875179.0,26201.339674832936,1753802109669,Synapse54,1753802109669,Synapse54
135,"G9H (Becancour, QC)",G9H,625318026.71,625318026.71,965246378.5,214717.67022828877,1753802109669,Synapse54,1753802109669,Synapse54
136,"G9N (Shawinigan, QC)",G9N,530639575.23,530639575.23,149583035.5,113854.1611209567,1753802109669,Synapse54,1753802109669,Synapse54
137,"G9P (Shawinigan, QC)",G9P,431939321.05,431939321.05,32510118.0,38949.97843748969,1753802109669,Synapse54,1753802109669,Synapse54
138,"G9R (Shawinigan, QC)",G9R,108491232.82,108491232.82,156430596.5,105284.31387222232,1753802109669,Synapse54,1753802109669,Synapse54
139,"G9T (Grand-Mere, QC)",G9T,583515351.83,583515351.83,175921560.5,90399.15322236488,1753802109669,Synapse54,1753802109669,Synapse54
